案件編號,發生日期,GPS經度,GPS緯度,案件類別名稱,地址類型名稱,發生縣市名稱,受傷人數,天候名稱, 速限-第1當事者,道路型態大類別名稱,事故位置大類別名稱,號誌-號誌種類名稱,事故類型及型態大類別名稱,肇因研判子類別名稱-主要
11001AC191B2684,20210126,120.22751,22.986002,交通事故,一般地址,臺南市東區裕農路段2884號,1,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B2687,20210102,120.22979,22.995326,交通事故,交叉路口,臺南市東區東平路段12號東平路,1,晴,50,交岔路,交叉路口,閃光號誌,車與車,未依規定讓車
11001AC191B2694,20210115,120.220569,22.992378,交通事故,一般地址,臺南市東區東寧路段25號5,1,晴,50,單路部分,路段,無號誌,車與車,未保持行車安全距離
11001AC191B2701,20210127,120.227577,22.959941,交通事故,一般地址,臺南市東區崇德路段1049號,1,晴,50,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B2724,20210127,120.224337,22.980756,交通事故,一般地址,臺南市東區崇學路段118號,1,晴,40,單路部分,路段,無號誌,車與車,開啟車門不當而肇事
11001AC191B2726,20210127,120.239585,22.989093,交通事故,一般地址,臺南市東區裕農路段801號,1,晴,40,單路部分,路段,行車管制號誌,車與車,未注意車前狀態
11001AC191B2737,20210127,120.240074,22.992937,交通事故,交叉路口,臺南市東區裕永路段號平實路,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC191B2738,20210127,120.212445,22.98861,交通事故,一般地址,臺南市東區東門路1段號,4,晴,50,單路部分,路段,無號誌,車與車,未保持行車安全距離
11001AC191B2743,20210127,120.224082,22.973426,交通事故,交叉路口,臺南市東區崇明路段號崇明十三街,1,晴,40,交岔路,交叉路口,行車管制號誌,車與車,違反號誌管制或指揮
11001AC191B2750,20210128,120.212261,22.984958,交通事故,一般地址,臺南市東區府連路段180號0,1,晴,50,交岔路,路段,行車管制號誌,車與車,未保持行車安全距離
11001AC191B2755,20210121,120.245029,22.990134,交通事故,交叉路口,臺南市東區裕農路段號裕信路,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,違反號誌管制或指揮
11001AC191B2756,20210112,120.242444,22.989792,交通事故,一般地址,臺南市東區裕農路段855號,1,晴,50,單路部分,路段,無號誌,車與車,未保持行車安全距離
